0101 3 -1
0102 4 0
0103 6 1
0104 6 1
0105 4 0
0106 5 0
0107 4 -1
0108 4 0
0109 4 -1
0110 3 -1
0111 3 -1
0112 6 1
0113 5 1
0114 2 -1
0115 2 -3
0116 1 -3
0117 0 -5
0118 1 -2
0119 2 -2
0120 3 -1
0121 2 -2
0122 4 1
0123 6 1
0124 4 1
0125 2 -2
0126 1 -3
0127 1 -4
0128 -1 -5
0129 -1 -5
0130 -3 -6
0131 -4 -9
0201 -5 -8
0202 -7 -11
0203 -7 -12
0204 -8 -10
0205 -8 -13
0206 -8 -12
0207 -6 -11
0208 -8 -18
0209 -8 -16
0210 -7 -15
0211 -7 -15
0212 -5 -15
0213 -5 -10
0214 -4 -11
0215 0 -9
0216 -1 -7
0217 1 -6
0218 1 -2
0219 1 -2
0220 2 -1
0221 4 -3
0222 4 -3
0223 4 -1
0224 6 1
0225 11 4
0226 7 -1
0227 3 -2
0228 1 -1
0229 10 2
0301 10 1
0302 12 5
0303 11 1
0304 7 0
0305 6 -1
0306 6 -2
0307 5 -2
0308 4 -3
0309 8 -1
0310 9 1
0311 10 1
0312 9 0
0313 12 3
0314 12 3
0315 13 6
0316 16 5
0317 17 7
0318 18 7
0319 15 4
0320 15 6
0321 17 7
0322 20 8
0323 19 8
0324 20 8
0325 19 8
0326 15 4
0327 15 6
0328 18 8
0329 15 5
0330 13 6
0331 13 1
0401 9 1
0402 14 5
0403 18 9
0404 21 9
0405 23 12
0406 22 8
0407 13 4
0408 9 -1
0409 10 0
0410 11 2
0411 15 6
0412 14 5
0413 17 9
0414 14 8
0415 16 7
0416 13 6
0417 14 5
0418 17 6
0419 17 6
0420 19 8
0421 17 7
0422 16 7
0423 17 8
0424 19 9
0425 16 7
0426 20 9
0427 23 11
0428 25 13
0429 26 14
0430 27 14
0501 28 16
0502 29 16
0503 28 14
0504 22 11
0505 23 11
0506 22 12
0507 15 8
0508 24 9
0509 25 11
0510 27 14
0511 30 13
0512 27 9
0513 15 6
0514 14 7
0515 15 7
0516 18 6
0517 16 4
0518 19 6
0519 25 10
0520 25 13
0521 25 15
0522 22 14
0523 25 14
0524 25 13
0525 21 11
0526 21 9
